"Ind_Ebbinghaus_Diff_Error","Ind_Ebbinghaus_Strength_Error","Ind_Ebbinghaus_Interaction_Error","Ind_Ebbinghaus_Diff_RT","Ind_Ebbinghaus_Strength_RT","Ind_Ebbinghaus_Interaction_RT","Ind_MullerLyer_Diff_Error","Ind_MullerLyer_Strength_Error","Ind_MullerLyer_Interaction_Error","Ind_MullerLyer_Diff_RT","Ind_MullerLyer_Strength_RT","Ind_MullerLyer_Interaction_RT","Ind_VerticalHorizontal_Diff_Error","Ind_VerticalHorizontal_Strength_Error","Ind_VerticalHorizontal_Interaction_Error","Ind_VerticalHorizontal_Diff_RT","Ind_VerticalHorizontal_Strength_RT","Ind_VerticalHorizontal_Interaction_RT","Participant","PriorScale"
-19.975,2.416395,2.03307,-0.8346785,-0.0076053,0.268676,-29.08535,1.60921,1.72637,-0.7753315,0.0110876,-0.0086008,-15.2762,0.7647535,0.760606,-0.8344245,0.0337648,-0.00640647,"S036",2
-19.9246,2.42679,1.36355,-0.8933145,0.0009524245,0.1295045,-27.75965,1.61358,1.877685,-0.6003825,-0.0021361,0.00345416,-15.43725,0.772028,0.8984675,-0.736111,0.03137405,-0.03414665,"S036",4
-20.66185,2.456265,2.396115,-0.8391945,-0.01936915,0.294359,-30.45485,1.58341,1.374395,-0.8160505,0.01913565,-0.009815065,-15.8161,0.7280245,0.549242,-0.9117095,0.0486861,0.005301415,"S041",0.5
-20.5682,2.430945,2.27535,-0.836952,-0.01636385,0.3038015,-30.6614,1.572435,1.302445,-0.8187275,0.0170655,-0.01132315,-15.50375,0.6830755,0.5120625,-0.9078285,0.04537985,-6.892305e-05,"S041",1
-20.27105,2.382575,2.033715,-0.8336745,-0.01843495,0.330193,-30.6948,1.57722,1.241925,-0.8097025,0.008972325,-0.0100653,-15.2418,0.6892575,0.5333415,-0.8609225,0.02864065,-0.000818035,"S041",2
-20.52355,2.465465,1.4778,-0.7838425,-0.02451375,0.3317585,-31.13865,1.6072,1.097485,-0.566698,-0.00829045,0.0160083,-15.469,0.727239,0.551329,-0.598727,-0.0144717,0.0141706,"S041",4
-20.77375,2.419685,2.30124,-0.8388545,-0.0205348,0.2903935,-30.30575,1.586615,1.404455,-0.818818,0.018565,-0.01048165,-15.4482,0.768804,0.6876565,-0.915101,0.04825885,0.00510863,"S200",0.5
-20.8453,2.3377,1.969315,-0.835114,-0.02378025,0.2904525,-30.2872,1.580495,1.39297,-0.824865,0.01494,-0.01359365,-15.3778,0.7614595,0.6934625,-0.917499,0.04472305,-0.0012474,"S200",1
-20.629,2.21799,2.060875,-0.762228,-0.0511472,0.301438,-29.6459,1.57937,1.442245,-0.7941365,0.00437274,-0.01080045,-14.553,0.761011,0.8471645,-0.6225555,-0.00814247,0.0234559,"S200",2
-20.506,2.06787,3.394515,-0.5486035,-0.1046905,0.3972675,-28.23765,1.580235,1.40661,-0.431902,-0.008537885,0.01672905,-13.5568,0.748557,1.056825,-0.222349,-0.04029935,0.0575757,"S200",4
-20.71425,2.42124,2.267865,-0.839498,-0.02084175,0.286984,-30.35025,1.586105,1.39998,-0.8157005,0.0188676,-0.01015925,-15.61685,0.7567655,0.6377015,-0.924841,0.04767415,0.003489515,"S149",0.5
-20.60275,2.331575,1.841895,-0.8365145,-0.0259655,0.284581,-30.40745,1.57547,1.33959,-0.8169635,0.0158012,-0.01251585,-15.46025,0.7357315,0.6056265,-0.9469985,0.04457235,-0.00648147,"S149",1
-20.05175,2.127405,1.383125,-0.7860995,-0.0721748,0.2129445,-30.3365,1.57034,1.324845,-0.77863,0.004360985,-0.0112026,-14.8202,0.7372055,0.6680345,-0.890714,0.0290663,0.00742808,"S149",2
-19.3123,1.781165,0.9445255,-0.6504945,-0.139192,0.3118145,-29.91945,1.55819,1.235755,-0.312851,-0.01001445,0.0171456,-14.00605,0.745637,0.7364225,-0.739231,0.0147134,0.0210376,"S149",4
-20.73205,2.45642,2.36022,-0.8407815,-0.01993725,0.2885415,-30.24965,1.58943,1.4393,-0.8174765,0.0185892,-0.01056655,-15.40515,0.7699055,0.699768,-0.9172525,0.04766425,0.00342492,"S211",0.5
-20.7923,2.426765,2.228065,-0.841135,-0.0212183,0.2880735,-30.2027,1.590135,1.472665,-0.8219345,0.01496645,-0.01369295,-15.37105,0.7692745,0.724222,-0.921683,0.04317055,-0.00985168,"S211",1
-20.94765,2.42079,2.323215,-0.829134,-0.0345557,0.226301,-29.9513,1.596535,1.62315,-0.7681105,0.00119773,-0.01059975,-14.75375,0.7748305,0.9152215,-0.6638555,-0.00443801,0.0057716,"S211",2
-22.2377,2.563145,3.186925,-0.7649225,-0.0619875,0.249711,-30.01885,1.58309,1.95083,-0.3743335,-0.01117095,0.01776965,-14.3896,0.7888275,1.190975,-0.425145,-0.0157707,0.0169805,"S211",4
-20.72305,2.43427,2.257845,-0.8390265,-0.0195251,0.292317,-30.44045,1.58426,1.37086,-0.8081155,0.0195416,-0.00905136,-15.85395,0.716438,0.5199805,-0.9251405,0.04803955,0.00337773,"S401",0.5
-20.6991,2.37088,1.820495,-0.8373885,-0.01754775,0.292786,-30.6136,1.573125,1.291785,-0.8038365,0.01808785,-0.00877656,-15.40665,0.6574745,0.4774665,-0.951022,0.0463427,-0.00939138,"S401",1
-20.57495,2.284945,1.193765,-0.841807,-0.0221241,0.2705345,-30.6843,1.57479,1.200265,-0.7746835,0.0119637,-0.00545934,-15.14935,0.6444205,0.448835,-1.01759,0.0424776,-0.0135476,"S401",2
-21.5328,2.361285,0.0879692,-0.8721805,-0.0325365,0.2453405,-30.6628,1.59535,0.990002,-0.603545,-0.007411715,0.006241395,-15.6845,0.659719,0.299339,-1.16088,0.0495275,-0.03441485,"S401",4
-20.71455,2.436575,2.297105,-0.83809,-0.01881635,0.2961545,-30.585,1.579795,1.334065,-0.8156505,0.01948515,-0.009783,-15.886,0.734025,0.552377,-0.908287,0.0498312,0.007921075,"S451",0.5
-20.6283,2.38531,2.07027,-0.83138,-0.0113042,0.3148335,-30.94695,1.557635,1.206905,-0.819522,0.01830215,-0.0113985,-15.8019,0.7038675,0.459159,-0.9005935,0.0491387,0.01203385,"S451",1
-20.3353,2.361345,2.064655,-0.825789,-0.00612932,0.3223055,-31.59375,1.54412,0.9750115,-0.825971,0.01499445,-0.01403745,-16.17695,0.7312845,0.3694635,-0.8711195,0.04525975,0.0261964,"S451",2
-20.45445,2.619515,2.463995,-0.864757,0.0293333,0.227651,-33.32495,1.56103,0.5243755,-0.8062605,0.006147455,-0.00300521,-18.17725,0.8547335,0.08309855,-0.648566,0.01567065,0.05666515,"S451",4
-20.38255,2.53771,2.954945,-0.836367,-0.01760545,0.2979135,-30.5551,1.58275,1.342435,-0.810254,0.0194966,-0.009271855,-15.85435,0.7333095,0.5592065,-0.917317,0.04776295,0.00384102,"S040",0.5
-19.97265,2.66621,3.898265,-0.8244175,-0.00622392,0.3157265,-30.92235,1.56634,1.211675,-0.808,0.01827145,-0.00956023,-15.6069,0.69146,0.5053515,-0.919048,0.04397165,-0.007335805,"S040",1
-19.59425,2.97508,5.694075,-0.778512,0.007114305,0.37643,-31.5115,1.563645,0.9845515,-0.791999,0.01366905,-0.00786608,-15.32915,0.6825605,0.53757,-0.874146,0.0246092,-0.0115946,"S040",2
-20.30975,3.66519,8.25221,-0.8159655,0.03101645,0.3390045,-32.632,1.58534,0.5037535,-0.5908715,-0.007548285,0.00846748,-15.4106,0.6707315,0.578673,-0.7897825,0.007587445,-0.0234495,"S040",4
-20.6638,2.430965,2.289095,-0.839261,-0.01931725,0.292024,-30.54035,1.582375,1.34931,-0.8172575,0.01870335,-0.0104543,-15.8121,0.738038,0.579477,-0.9185535,0.04951665,0.00574098,"S393",0.5
-20.49405,2.36287,1.9388,-0.836952,-0.0161165,0.2941805,-30.84905,1.56992,1.231805,-0.819479,0.01532805,-0.0131091,-15.60655,0.7180425,0.5474325,-0.9348335,0.0492259,0.000584197,"S393",1
-19.7882,2.258735,1.56267,-0.826918,-0.0370319,0.2455895,-31.24725,1.57322,1.04879,-0.769979,0.00397929,-0.008380585,-15.376,0.7587905,0.644442,-0.923525,0.03732585,0.001484595,"S393",2
-18.93585,2.279815,0.662233,-0.7994245,-0.06494575,0.2955865,-32.39505,1.619915,0.6870095,-0.573886,-0.00992022,0.0178371,-16.2737,0.9146335,0.781381,-0.764177,0.0093343,0.02726355,"S393",4
