"Participant","Ebbinghaus_Strength_Error","Ebbinghaus_Diff_Error","Ebbinghaus_Interaction_Error","Ebbinghaus_Strength_RT","Ebbinghaus_Diff_RT","Ebbinghaus_Interaction_RT","MullerLyer_Diff_Error","MullerLyer_Interaction_Error","MullerLyer_Strength_Error","MullerLyer_Strength_RT","MullerLyer_Diff_RT","MullerLyer_Interaction_RT","VerticalHorizontal_Strength_Error","VerticalHorizontal_Diff_Error","VerticalHorizontal_Interaction_Error","VerticalHorizontal_Diff_RT","VerticalHorizontal_Interaction_RT","VerticalHorizontal_Strength_RT"
"S218",-0.793162,7.1475,-1.10139,-0.0438867,0.3493315,-0.009188855,0.7705585,-0.01228315,0.22418,0.000585278,0.1817675,-0.004712825,0.162399,-5.930245,0.2565505,0.4279145,-0.003720495,-0.0229937
"S219",-0.18941,-9.158465,-1.228345,0.0361409,-0.242417,0.00782099,-4.78079,-0.00201219,0.301494,0.00961742,-0.4205515,-0.00594769,0.0653329,-2.148915,0.0923699,-0.433069,0.000290295,0.02486605
"S220",-0.00313249,-4.052555,-0.3600575,-0.03096105,0.139855,0.0144238,0.02955045,-0.01245925,0.144665,0.003004395,0.08767885,-0.006718675,0.1353125,-2.235795,0.2331085,-0.4985215,-0.000570477,0.0344686
"S221",0.78012,-2.531985,1.48626,-0.010233,0.0911069,0.001822285,-2.89483,0.0004067665,0.1627795,-0.00427655,-0.0283279,0.006710245,0.142249,-3.09673,0.2168545,-0.1298235,-0.00179126,0.00860234
"S222",1.10715,-0.6936655,2.70158,-0.00078739,0.0491641,0.00103856,2.86072,0.0216694,-0.2306585,0.003083665,-0.0387137,-0.003330395,-0.0162563,-1.638835,-0.0163827,-0.03062585,-0.0004919685,0.00270207
"S223",-0.601665,-0.2908575,-1.444525,-0.004670465,0.130007,-0.0336706,1.280005,0.001513345,-0.1557065,-0.009797345,0.417014,0.00747857,0.0003449195,2.35083,0.0309761,0.359888,-0.001633725,-0.004540855
"S224",0.70339,-3.62343,1.278575,-0.0271761,0.286364,-0.00648662,4.57487,-0.01479215,-0.0757121,-0.008606755,0.09976995,0.0116013,0.00396785,3.513335,0.0901561,-0.2031365,0.003389145,-0.007356755
"S225",0.5773325,2.877805,1.741635,0.0395269,-0.241912,0.00868165,-7.4164,-0.004523145,0.3376705,0.00875701,-0.123848,-0.00971107,-0.03899565,-3.16693,-0.1043225,-0.0125821,-0.000761519,-0.01016305
"S226",-0.847558,9.135735,-1.09474,-0.0517841,0.543129,-0.0622374,7.13597,-0.007191565,-0.1910085,-0.01581215,0.517911,0.0137435,-0.2384315,7.668615,-0.4211425,0.669553,-0.0031843,-0.0290106
"S227",0.4196495,1.8775,1.30296,0.00349424,-0.00571886,0.00247871,-1.599705,-0.004106055,0.270605,0.00295163,0.0568863,-0.003966415,-0.05949835,-2.212645,-0.143906,-0.172719,-0.0008111425,0.00717047
"S228",0.01051105,-7.009005,-0.575496,-0.05811215,0.445756,-0.0187028,-2.301545,-0.00232324,0.2611665,-0.00271967,0.148223,0.001810225,-0.008700205,0.771724,0.02787335,0.319655,-0.005022215,-0.009810795
"S229",-0.693907,2.909555,-1.252345,-0.03429535,0.1458605,0.00802351,2.26409,-0.01519205,0.3117655,0.0001604145,0.100123,-0.002734595,-0.0140175,3.33805,0.007026085,0.243007,-0.00140812,-0.00747338
"S230",0.333421,-3.156845,0.4025875,0.0253125,-0.328504,0.02807045,-3.69453,-0.0082138,0.3746665,0.0218115,-0.57744,-0.0210407,0.1561945,-3.60698,0.254045,-0.303602,-1.430581e-06,0.0144899
"S231",-0.381525,-7.619835,-1.5693,-0.01532475,-0.126153,0.02721815,3.222545,-0.003791685,-0.172128,-0.02081645,0.2092325,0.0276311,-0.1254175,-1.096995,-0.242504,0.023664,0.0007272915,-0.01337075
"S232",-1.28479,12.99625,-1.66479,0.04393035,-0.498222,0.055316,-1.18153,-0.01443165,0.3644495,0.0131305,-0.44674,-0.0100108,0.00401954,4.874045,0.09345705,-0.646219,0.00408476,0.0225188
"S233",-0.442991,3.578575,-0.7269225,-0.047957,0.369468,-0.0193629,3.40914,0.002586835,-0.219292,-0.0118398,0.4224105,0.008918675,0.0251423,2.839235,0.08720595,0.3782855,-0.00212743,-0.01822515
"S234",0.802254,-2.85895,1.5129,0.002935835,-0.115549,0.00390296,-1.340445,-0.004471575,0.280384,0.01068455,-0.2440115,-0.01175795,0.07744515,-4.595615,0.0526663,0.03664325,-5.472495e-05,-0.0026745
"S235",-0.465798,3.920695,-0.4780495,-0.05668785,0.555225,-0.0397432,0.8582435,0.00241605,0.1662635,-0.01310145,0.455814,0.0110682,-0.131343,4.906405,-0.1302985,0.5220035,-0.00339577,-0.014861
"S236",0.4415775,-7.31464,0.0867369,0.02727275,-0.2569535,0.00920541,-3.050245,-0.0096685,0.2488405,0.004775745,-0.0269432,-0.007190325,0.135984,-4.47457,0.136958,-0.573207,-0.0007766565,0.0422437
"S237",0.0978878,2.521865,0.3007005,0.03084395,-0.2991335,0.00807371,0.89682,0.00203296,-0.08728185,0.008491715,-0.252605,-0.00686554,0.09641325,-3.09702,0.1459245,-0.2118275,-0.003380725,0.0155693
"S238",0.1890095,-7.961895,-0.1756635,0.0162238,-0.318592,0.052794,-5.841915,-0.01065905,0.4820165,0.00865958,-0.2329525,-0.007324425,-0.17178,-0.5955405,-0.3740495,-0.440036,0.004909445,0.003180915
"S239",0.06794825,-2.50267,-0.44942,-0.02166315,0.197761,-0.0123801,2.349945,0.001976065,-0.05932445,-0.002609895,0.1913485,0.0001688915,0.1532635,0.292872,0.265003,0.1667405,-0.001476045,0.007494445
"S240",-0.487491,-2.32773,-1.128235,0.00129566,-0.108084,0.0174778,0.50238,-0.001285675,0.02110725,0.002487405,-0.0770863,-0.0006721415,0.07203115,-4.02877,0.05449605,-0.110968,0.000153378,0.00105896
"S241",-0.05811775,-1.2946,-0.2349245,-0.01347895,0.168103,0.000796882,4.009865,0.0435694,-0.6675805,-0.008013655,0.02682305,0.01144045,-0.1474185,0.543306,-0.296607,0.455538,0.003881005,-0.0332748
"S242",0.818453,2.389705,2.41572,0.0240635,-0.396805,0.05221195,-4.96948,-0.03875165,0.5815825,0.0142981,-0.3656115,-0.01367465,0.01502525,-3.41927,-0.0578779,-0.6573345,-9.297205e-05,0.03197955
"S243",0.341268,-3.59709,0.304071,-0.0078812,0.02758155,0.00462472,-5.62033,-0.00581451,0.362668,-0.003892425,0.0992135,0.004357335,0.09541705,-5.966045,0.0503861,-0.0621596,-0.00397801,0.005747315
"S244",0.1263225,-0.144814,0.20076,-0.0474933,0.4532395,-0.02508925,3.55484,-0.005718815,-0.297962,-0.01288115,0.356247,0.01331225,0.03666655,4.631995,0.129341,0.698928,0.00133741,-0.03918985
"S245",0.1962675,-3.39362,-0.003649385,-0.0196054,-0.0313505,0.006040515,3.5867,0.0192719,-0.5222745,-0.00865612,0.1535835,0.01003945,0.07243715,0.9106535,0.1124245,0.233331,-0.001688765,-0.006651345
"S246",-1.1396,9.389285,-1.97127,-0.0602967,0.534048,-0.06246675,-0.08109825,-0.0016143,0.02523885,-0.0208521,0.572647,0.02091345,0.1504685,2.740195,0.394204,0.5370625,-0.002176565,-0.01307915
"S247",-0.699042,1.348125,-1.46747,-0.0449705,0.448322,-0.0267315,5.04758,-0.00103835,-0.144778,-0.01307445,0.3989075,0.01208715,0.0764831,2.49575,0.229177,0.552116,-0.00332614,-0.0102034
"S248",0.2013205,1.179235,0.5451995,-0.03728745,0.578817,-0.07398045,3.12162,-0.0132286,0.1193725,-0.01655915,0.50625,0.01659025,0.203841,-2.628165,0.412667,0.62069,-0.00223316,-0.0224818
"S249",1.20557,-2.498295,2.58721,-0.00908249,-0.02208765,0.0206826,5.91476,-0.003768075,-0.232053,-0.00725094,-0.01118945,0.01274395,0.03474835,-2.472795,0.0373014,0.206246,0.00419589,-0.0201769
"S250",-0.6595435,-0.5929045,-1.39028,0.004175895,0.0922283,-0.01412075,2.722755,0.007342275,-0.03029635,-0.000736462,0.07510825,4.92021e-05,0.04274275,3.955475,0.0904114,0.17941,-0.004023595,-0.003382765
"S251",-0.6646815,6.661845,-1.00597,-0.03227205,0.379323,-0.0218081,12.08975,0.02075185,-0.759293,-0.009717275,0.212812,0.010327,0.0691773,3.779385,0.199453,0.373038,9.933765e-05,-0.0201881
"S252",0.4207245,-1.028785,0.877951,0.008815805,-0.0625165,-0.00200019,-4.030465,0.00381823,0.115269,0.00454605,-0.138419,-0.003735265,-0.05326945,2.273015,-0.099672,-0.127617,0.004398715,0.00306865
"S253",-0.00073527,-6.113345,-0.545566,-0.00212752,0.09909065,-0.001767315,-1.516575,-0.00607238,0.2721815,0.01038115,-0.09667965,-0.01356515,0.0209639,2.492805,0.0642061,0.09790225,-0.00205973,0.0132326
"S254",0.214775,1.890455,0.7230735,0.0293295,-0.1089155,-0.000365781,-2.326075,-0.003896285,0.239105,0.00539536,-0.2548095,-0.002360965,0.1170715,-2.828395,0.1510545,-0.221456,-0.0001313465,0.0235929
"S255",-0.4445315,0.9304155,-0.9156185,-0.01399685,0.1131685,-0.0130531,-4.58464,-0.00231613,0.188382,0.002961195,0.1912035,-0.007842645,0.05726565,-0.938381,0.0656551,0.0756212,-0.00274876,0.001663105
"S256",-0.461431,-4.10475,-1.426555,0.0006256,-0.0922545,0.00530639,2.46834,-0.00013758965,-0.167806,0.0003985705,0.1320455,-0.002211115,-0.000205256,-1.97166,-0.070626,0.1163285,-0.005642815,0.0025592
"S257",0.5004335,-7.26392,0.415566,0.135597,-1.33405,0.126983,-2.216415,-0.005100565,0.2049785,0.03882715,-1.367865,-0.03173905,-0.0873936,-4.34391,-0.1958585,-1.17337,0.00454941,0.03880175
"S258",-0.445994,0.845847,-0.7958145,-0.0324204,0.3497905,-0.04016305,-3.24444,0.004014385,0.09080245,0.0116219,-0.0141633,-0.01842015,0.0956236,-0.2141315,0.244138,0.3685125,-0.001089025,-0.00674716
"S259",-0.6381675,5.80482,-0.982171,-0.005457395,0.0711375,-0.00314037,2.39941,0.00132326,-0.05633285,-0.00604756,0.153189,0.006524985,-0.07274555,2.782485,-0.0328475,0.2646975,0.001589875,-0.016954
"S260",0.3783175,-1.98626,0.6834185,-0.01744125,0.08598525,-0.01167745,-5.27712,-0.00377269,0.148544,-0.00483002,0.106284,0.004835885,0.08016315,1.02684,0.188714,0.128283,-0.001312865,0.00549382
"S261",0.3926135,-5.53676,0.09134485,-0.0250143,0.265301,-0.01707755,-2.46295,-0.00621518,0.24267,0.004301535,-0.0310736,-0.00581335,-0.0163967,-1.2207,-0.0501364,-0.08896765,-0.00234464,0.01293305
"S262",0.5513765,-0.0373232,1.003705,-0.0460246,0.2456115,-0.00697159,10.6975,0.03751775,-0.8863945,-0.008239505,0.4113355,0.002857425,-0.24395,3.026465,-0.3992175,0.311406,-0.00113353,-0.01823575
"S263",-0.4070945,0.855802,-0.788665,-0.02304735,0.107533,0.00360109,3.45403,-0.0100251,-0.07587565,-0.004324675,0.311852,-0.0002996515,0.0497668,-1.599375,0.0984194,-0.2649385,-0.00113612,0.01536445
"S264",0.3817985,-1.560285,0.3557655,0.02787965,-0.3425655,0.0266288,-5.75706,-0.014316,0.416054,0.00688475,-0.2673845,-0.00459201,0.1957315,-3.566895,0.302066,-0.08586915,-1.917225e-05,0.005689165
"S265",-1.086825,3.816675,-2.198845,0.0603436,-0.718567,0.07789175,1.76445,-0.01163735,0.198538,0.01320915,-0.346973,-0.01225155,-0.0507349,2.06846,-0.0904208,-0.56524,0.000181954,0.0417587
"S266",-1.347845,11.07945,-1.93552,-0.0380605,0.2963945,-0.0234634,7.76453,0.006495905,-0.320859,-0.01335025,0.304604,0.01327865,-0.173501,6.64076,-0.1782575,0.404974,-0.00073133,-0.02214585
"S267",0.419631,-2.996635,0.4888535,-0.03292545,0.354857,-0.04166695,-2.92887,-0.00922015,0.3193845,-0.00271691,0.3854795,-0.004098555,-0.100118,1.91742,-0.147707,0.359505,0.001345605,-0.0205903
"S268",0.424628,-2.919525,0.6669665,-0.04276195,0.265412,-0.0019281,-0.952233,-0.004112395,0.0836031,0.003741385,0.1486645,-0.00817326,-0.1619645,1.2563,-0.2473145,0.179007,-0.00052258,-0.0137608
"S269",0.3197035,-7.94027,-0.1137885,0.0008411285,0.136731,-0.0150331,-1.770135,-0.00856464,0.326487,-0.00900746,0.259425,0.00779367,0.1950315,-2.61194,0.3726225,0.01508045,-0.004220035,0.01162295
"S270",-0.6184185,5.46288,-1.08427,0.0513028,-0.5528905,0.05754915,-0.1151865,-0.00523276,0.125357,0.002083805,0.05037255,-0.004989305,0.190178,0.898003,0.4745705,-0.172513,-0.001643045,0.0152355
"S271",0.426751,-3.942015,0.264577,0.1419875,-1.37377,0.1265515,-5.117055,0.00967233,0.01075295,0.0360035,-0.9261075,-0.0354034,-0.0233555,-2.261515,-0.04152215,-0.767428,0.002691775,0.03244805
"S272",-1.033825,4.24887,-1.546265,-0.00985883,0.208403,-0.034275,-0.04961785,-0.000219511,0.1951695,-0.01396535,0.348093,0.0126159,-0.0670127,1.71813,-0.086376,0.2509775,-0.00136732,-0.01090895
"S273",-0.01064945,-2.65748,-0.139766,-0.0116717,0.04795635,0.0009854255,-1.04406,-0.006758355,0.1463315,-0.00231715,0.03946195,0.001271915,-0.1453025,-0.47855,-0.1986865,0.5269255,0.00194041,-0.03614285
"S274",0.133708,-8.13793,-0.522411,0.00722069,-0.00573879,-0.002233935,-1.111835,0.00386716,0.108603,-0.01011275,0.0915681,0.01340735,0.2185165,-4.340595,0.384683,0.02203285,5.58724e-05,0.0151162
"S275",-0.01086085,-2.87759,-0.253455,-0.0177686,0.3310935,-0.02519665,-0.03411385,-0.0114703,0.2193785,-0.00738367,0.305794,0.004233405,0.0459874,-2.21732,0.0229809,0.460791,-0.003301985,-0.01655365
"S276",-0.08419395,-1.066905,-0.2438315,-0.03337705,0.499145,-0.05712935,5.451485,-0.004571565,-0.1422625,-0.02250445,0.4364805,0.02583595,-0.01048285,3.394755,0.01798425,0.606333,-0.00220827,-0.02930555
"S277",-0.1101965,-2.134125,-0.4269845,0.01711655,-0.05388355,-0.00737015,2.69774,0.008092135,-0.395469,-0.007674855,0.221627,0.007319575,0.1262935,0.8287255,0.227124,0.282695,-0.0001320615,-0.007146075
"S279",0.2246655,-0.425305,0.3244775,-0.0393077,0.328033,-0.0119952,2.291965,-0.00269433,0.0989954,-0.01338915,0.407043,0.0129794,-0.0118161,4.427115,0.03515045,0.2385465,-0.000673737,0.001543265
"S280",0.8171215,-2.33139,1.909555,-0.00963226,0.1253305,-0.006704765,-2.642485,-0.000385334,0.2322175,-0.01078585,0.1667205,0.01187755,0.102026,-2.80613,0.1539015,0.144503,-0.0009272325,-0.009812095
"S281",-0.321447,4.85613,-0.08349555,0.0039047,0.2307875,-0.04394305,0.61508,-0.00207038,0.0791697,-0.008406615,0.4108305,0.005707115,0.02015175,3.26145,0.0431034,0.274217,-0.00312444,-0.00569881
"S282",-0.1903135,3.02282,0.03067185,-0.0293073,0.424496,-0.08217285,6.398045,0.03465355,-0.679136,-0.0121331,0.407648,0.0100163,0.007097045,0.4720125,0.03771785,0.5307505,-0.00118002,-0.0181645
"S283",0.6799325,3.97868,2.06448,0.0914636,-0.890216,0.07346605,15.5215,0.0678944,-1.476755,0.03443555,-1.43438,-0.02297105,-0.492755,8.23887,-0.962824,-0.5395515,0.007376185,0.00243163
"S284",-0.112884,-6.29339,-0.7835695,0.01396795,-0.1836565,0.0145319,-2.835265,-0.0132821,0.386506,0.0256834,-0.5221755,-0.0295727,0.0575564,-0.887056,0.05744995,-0.7459545,0.001234825,0.03293055
"S285",0.683104,0.9445595,1.71717,0.068115,-0.6637625,0.05325695,-4.062555,-0.00562296,0.351023,0.01553635,-0.3557995,-0.0147624,0.07095005,-1.86305,0.05561595,-0.4646,0.00148264,0.0218941
"S286",-0.817201,1.445525,-1.55669,-0.01305465,0.159901,-0.008842385,-1.50936,-0.001964325,0.122458,-0.006151035,0.185183,0.00596941,0.04599205,-0.205803,0.058707,0.0328513,0.00284733,-0.00885513
"S287",-0.03964095,2.607305,0.143255,-0.03107375,0.317539,-0.0330405,4.9809,-0.00378307,-0.227881,-0.009740425,0.391582,0.006870475,0.153224,-2.249815,0.271642,0.528906,0.001145075,-0.0248275
"S288",0.2104015,-10.9451,-0.6491615,0.01023735,-0.1987565,0.01781625,-6.34696,0.0006955365,0.429996,0.009470915,-0.121195,-0.0105915,0.3136935,-4.43309,0.564739,-0.363134,1.93732e-06,0.0229962
"S289",-0.5434155,7.690275,-0.2102465,0.04758225,-0.481753,0.0429388,-1.362355,0.007097335,-0.003541705,-0.00429101,-0.2848255,0.01273625,0.0913769,-0.558592,0.1093035,-0.153032,-0.00127733,0.0153403
"S290",-0.1852855,8.553195,0.3083385,-0.03223905,0.399689,-0.0353654,3.64599,-0.0122718,-0.007156285,-0.015101,0.2739235,0.017728,-0.255747,6.15435,-0.390625,0.3713145,-0.000405311,-0.0215818
"S291",0.4847185,-0.866399,0.9562905,0.0133793,-0.2318375,0.01503055,-5.96291,-0.004280175,0.234413,0.0273109,-0.5779215,-0.0303603,0.1669635,-4.4158,0.1626775,-0.8711015,0.000872259,0.05066845
"S292",-0.8520965,1.827495,-1.805985,0.0205128,-0.109359,0.001388115,0.436333,0.02178445,-0.238442,-0.001386665,-0.1555755,0.00590355,-0.01050535,0.8494995,-0.0173613,0.08143165,0.00500293,-0.007735025
"S293",-0.163883,-5.92775,-0.868357,0.0570336,-0.3494775,0.005050985,-4.314295,0.01560395,-0.240215,0.02393815,-0.492838,-0.02668885,-0.0746103,-2.64286,-0.2071495,-0.691476,0.000299536,0.0391481
"S294",-0.558115,3.125185,-0.9662065,-0.00968051,0.249248,-0.023259,1.61304,-0.00346728,0.05758595,-0.00973955,0.1576505,0.01278115,0.08722145,0.617377,0.201036,0.3132385,0.00032288,-0.01337205
"S295",1.282955,0.111602,3.19752,0.0271596,-0.2610725,0.00521425,-3.685015,-0.00840395,0.4847735,0.00203583,0.07911335,-0.00400908,0.208864,-4.06759,0.3214015,-0.2563225,-0.001876105,0.02273245
